Season,TeamName,eFGPct,TOPct,ORPct,FTRate,Size,Exp,FG2Pct,FG3Pct,FTPct,BlockPct,FG3Rate,ARate,StlRate,DFP,eFGPct1,TOPct1,ORPct1,FTRate1,Off_1,Off_2,Off_3,Def_1,Def_2,Def_3,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,win_pct,Conf
2019,Arkansas Pine Bluff,51.5954244,19.749687,30.7170543,44.9729079,77.22,2.12,47.0254958,33.9963834,67.8362573,9.28764653,34.3052109,49.8542274,0.09162715,12.1812182,48.3870968,22.0759722,29.118774,42.4317618,22.9249012,49.2094862,27.8656127,22.723174,50.7664563,26.5103697,66.8726,65.2514,95.9426,96.59,104.658,109.728,-13.1378,0.40625,SWAC
2019,Arkansas St.,51.5822785,17.0824485,29.9145299,43.7284235,76.32,2.16,46.4573991,32.2869955,73.8165681,11.0207769,37.5,45.0953679,0.07281044,11.0039159,47.1973094,19.3227696,33.6546889,37.8923767,22.8584517,47.4576271,29.6839212,23.9932175,47.1386181,28.8681645,69.7385,68.307,101.692,102.445,110.33,110.244,-7.79865,0.40625,SB
2019,Army,53.3092325,18.7472119,22.8678538,28.3648498,75.37,1.89,51.0338346,31.7848411,68.0525164,4.47343896,43.4643996,59.2777086,0.08402365,3.46027691,49.5749203,16.4885117,21.6216216,24.282678,14.2857143,49.8851631,35.8291227,15.3642384,50.5960265,34.0397351,71.4085,69.7578,98.5619,96.3497,102.098,103.239,-6.88898,0.40625,Pat
2019,Auburn,51.7249641,24.6217548,32.8649493,36.3200767,76.56,2.19,51.6835017,38.087105,71.2912088,15.5084746,49.6396778,52.6415094,0.13124209,5.35213088,54.3874523,16.8211688,31.5939957,30.8605341,16.8233387,39.8055105,43.3711507,19.9777613,44.9962936,35.0259451,68.7281,67.8857,113.912,120.887,100.009,95.8903,24.9965,0.75,SEC
2019,Austin Peay,52.5470653,20.7767784,30.0278035,34.2192691,75.87,2.18,51.0756972,37.5384615,70.8018154,8.95390071,34.1207349,45.9887006,0.09716726,7.35521689,52.8608924,16.6124672,32.3241318,34.6981627,18.8557615,51.6518936,29.4923449,18.4357542,51.9123335,29.6519123,71.1601,68.9735,111.649,111.125,104.526,106.831,4.29403,0.666666667,OVC
2019,BYU,50.6799163,17.6237017,26.9691781,35.4079498,77.23,1.79,54.6063652,33.0409357,72.6666667,8.82838284,36.4217252,54.8974943,0.08725882,8.71300981,52.7689031,15.2595466,23.7668161,39.9361022,21.5670756,51.6026909,26.8302335,20.4433498,48.0295567,31.5270936,71.5499,70.2665,102.058,102.513,98.9674,98.6004,3.91219,0.484848485,WCC
2019,Ball St.,47.2292191,17.865599,28.7310455,30.3274559,77.21,2.19,53.5130719,32.2203673,70.1166181,8.63531226,32.8579265,47.6415094,0.09126523,10.6602194,51.810203,20.1902794,27.5161588,37.6302798,20.2953587,55.2742616,24.4303798,18.4782609,52.6956522,28.826087,66.4633,65.2354,107.867,115.283,101.588,98.7984,16.485,0.588235294,MAC
2019,Baylor,49.117175,18.5684436,29.3916024,36.4901017,76.91,1.45,51.1607911,34.1220423,67.7165354,13.7662338,40.844354,54.4303798,0.09218063,4.58160547,51.1698881,19.6710827,37.9106992,32.2990844,17.6085176,48.7305487,33.6609337,20.2432667,47.6976542,32.0590791,74.0139,71.2658,116.118,115.57,100.053,101.478,14.0926,0.818181818,B12
2019,Belmont,48.708577,16.0419688,24.9603804,27.4366472,77.45,1.46,59.2982456,36.9662921,73.5294118,9.07063197,43.8423645,61.3930348,0.08712088,10.0702625,57.6108374,15.2042681,25.2707581,28.4729064,15.3762663,48.9146165,35.7091172,16.3248221,53.1603181,30.5148598,73.5537,72.2221,97.205,93.6063,100.173,105.522,-11.9154,0.451612903,OVC
2019,Bethune Cookman,47.8126753,19.7121056,31.5092674,36.623668,76.45,2.5,48.2523444,32.3529412,60.9230769,8.34057341,33.0097087,52.5896414,0.09437636,7.06484029,48.3438035,21.4787566,33.4507042,37.1216448,18.9564385,54.188607,26.8549545,20.8449397,51.996286,27.1587744,66.6044,65.8487,94.7548,96.1326,108.943,112.877,-16.7439,0.303030303,MEAC
2019,Binghamton,52.303523,16.7575781,31.6894977,25.203252,75.93,2.19,48.4102564,33.9237057,63.7019231,11.9363395,42.949093,40.221914,0.08039763,-2.9328433,49.4733762,18.5495735,20.9302326,24.3417203,13.5480573,48.2617587,38.1901841,13.9161463,49.4201606,36.6636931,66.4434,65.5188,106.535,107.359,102.633,104.234,3.12525,0.393939394,AE
2019,Boise St.,51.780502,18.4862083,24.3705942,33.5668418,77.87,1.97,54.6845124,35.1506456,72.7436823,6.5750736,39.9885255,47.123623,0.0896301,4.65904166,53.9013196,17.2724673,23.4580384,31.78428,17.6599474,50.1314636,32.208589,19.4002726,48.1599273,32.4398001,68.4013,67.3066,101.935,107.226,104.878,102.702,4.52409,0.451612903,MWC
2019,Boston College,48.4210526,16.6233284,31.4673452,29.4210526,77.48,1.5,49.0633363,31.7321689,69.8262243,9.11504425,37.9977876,49.7395833,0.07382987,-0.1091798,48.5066372,17.5055721,28.5837651,35.011062,20.1275046,50.0910747,29.7814208,18.4397163,48.8475177,32.712766,67.6916,66.3024,105.586,104.396,107.258,110.359,-5.96216,0.454545455,ACC
2019,Boston University,54.6206503,18.205641,25.1261352,32.4586423,77.84,0.89,54.4794189,34.1503268,68.4095861,6.46387833,33.0632091,48.5294118,0.08918925,3.04531831,53.4035656,18.8492748,28.5577842,24.7974068,13.7058053,58.9262331,27.3679616,17.8111588,50.9012876,31.2875537,72.5612,70.5033,106.585,108.377,101.955,102.336,6.04091,0.647058824,Pat
2019,Bowling Green,50.8273009,17.816801,24.7508306,31.1271975,76.94,1.88,48.7900078,35.7836338,67.3819743,7.5729927,36.013986,45.3001133,0.09228847,3.33955558,50.5494506,16.5350167,30.7380373,34.9150849,18.8777555,50.1002004,31.0220441,17.6372015,45.915375,36.4474235,65.8526,65.3016,100.178,101.512,99.1095,101.421,0.0911474,0.571428571,MAC
2019,Bradley,47.6060936,18.407363,26.7011197,35.6365615,76.74,2.06,46.5414176,37.03125,69.1019787,11.5004492,35.3395914,52.4296675,0.07691966,5.03754688,49.7239094,18.807523,26.6607617,36.2782993,20.1330377,48.3370288,31.5299335,21.4189493,46.519982,32.0610687,72.0291,71.1469,98.8485,99.6423,95.5052,98.4021,1.2402,0.625,MVC
2019,Brown,48.0214811,20.9700363,27.4734982,31.2605992,76.23,1.7,50.1992032,33.7662338,72.070626,11.25,40.8367708,50.8130081,0.10462075,5.74775472,50.3830289,20.3276281,24.5192308,36.7118444,20.7966651,46.6882816,32.5150533,18.2780183,50.1202501,31.6017316,69.2075,67.6172,100.914,99.4609,111.068,115.104,-15.6427,0.333333333,Ivy
2019,Bryant,54.870892,18.591434,30.2040816,35.4460094,75.41,1.55,49.2291881,32.4858757,71.197411,7.49525617,42.117787,44.9929478,0.07609965,5.13609534,49.0184414,18.3987766,26.6106443,36.7638311,21.0727969,45.8812261,33.045977,19.187554,48.1417459,32.6707001,71.284,70.6633,106.827,105.762,102.435,103.916,1.84595,0.636363636,NEC
2019,Bucknell,49.2230576,16.6437268,27.6150628,32.4310777,77.09,1.88,53.3077661,35.1412429,74.8851455,8.89570552,45.9024896,59.8615917,0.07326628,8.86720895,53.0342324,17.2789836,25.7575758,33.8692946,19.2975533,43.8831886,36.8192581,18.7758478,52.688172,28.5359802,74.4307,73.5782,112.498,115.224,95.2192,95.3738,19.8498,0.888888889,Pat
2019,Buffalo,47.3461719,20.346697,27.0110701,31.8929075,76.49,2.34,55.6426332,33.6309524,68.4069612,10.03663,44.1330998,54.8141087,0.09676155,14.4506479,53.349387,15.8719535,31.8673396,32.7057793,17.3337856,48.1682497,34.4979647,19.1983968,53.8677355,26.9338677,66.9976,65.9724,106.809,111.317,105.186,102.075,9.24219,0.484848485,MAC
2019,Butler,52.7186099,18.9424544,27.5992439,36.32287,76.8,1.86,51.4001807,35.3083434,73.7704918,5.73543016,42.7611169,50.4065041,0.08663255,7.8953946,52.0682523,16.0696651,25.6864482,25.2326784,15.1642797,47.935973,36.8997473,19.5121951,48.267009,32.2207959,71.8626,70.8975,108.793,111.999,104.503,104.275,7.72416,0.59375,BE
2019,Cal Baptist,48.841578,15.0519888,28.8711289,39.636819,76.34,1.69,50.4424779,34.8082596,77.5390625,6.41952984,42.8571429,40.7514451,0.0607361,16.7595481,51.2010114,17.9567585,28.7830688,32.3640961,19.6826971,45.2156668,35.1016361,22.4266534,51.6161114,25.9572352,68.8465,67.8759,106.657,106.114,105.726,108.939,-2.82448,0.516129032,WAC
2019,Cal Poly,52.5961539,15.5775076,31.4472252,38.0769231,76.7,1.77,46.6039707,32.0433437,64.4927536,8.34932822,40.2994386,42.7258806,0.0694746,9.21985094,47.1927636,16.9887104,26.1208577,25.8265752,15,50.1123596,34.8876405,20.3784571,52.1106259,27.510917,66.6682,66.1607,96.582,97.0149,111.776,114.874,-17.8592,0.206896552,BW
2019,Cal St. Bakersfield,51.3007614,20.0786097,29.5546559,52.5380711,75.82,1.8,46.6666667,31.0064935,67.6258993,10.0642398,32.3189927,41.2358134,0.09376332,9.59341199,46.6159496,18.9894398,37.8583474,29.1710388,17.4640037,55.9219694,26.6140269,27.4887892,41.4349776,31.0762332,67.3273,65.1779,102.175,102.573,106.054,107.704,-5.13105,0.529411765,WAC
